Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industy,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32
Acute Care Nurse Practitioner,0.2,0.3,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,125900,Master's degree,"323,900",38% (Much faster than average),"123,600"
Addiction Counselor,0.2,0.3,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500"
Addiction Psychiatrist,0.2,0.2,0.4,0.2,0,62,0.4,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Addictions Counselor Assistant,0.2,0.3,0.25,0.6,0.05,62,0.3571428571,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,38520,High school diploma or equivalent,"415,100",9% (Much faster than average),"35,600"
Addiction Therapist,0.1,0.2,0.4,0.3,0.05,62,0.2857142857,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,49710,Bachelor's degree,"388,200",18% (Much faster than average),"71,500"
Administrative Clerk,0.7,0.8,0.2,0.3,0.1,56,0.7142857143,https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,38040,High school diploma or equivalent,"2,668,200",-7% (Decline),"-175,400"
Administrative Court Justice,0.3,0.2,0.3,0.15,0.05,92,0.5,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,128610,Doctoral or professional degree,"42,800",2% (As fast as average),800
Administrative services and facilities managers,0.3,0.3,0.2,0.1,0.1,56,0.6,https://www.bls.gov/ooh/management/administrative-services-managers.htm,101870,Bachelor's degree,"377,800",5% (Faster than average),"19,900"
Admiral,0.1,0.1,0.3,0.2,0.3,92,0.2,https://www.bls.gov/ooh/management/top-executives.htm,100090,Bachelor's degree,"3,787,800",3% (As fast as average),"124,200"
Admissions Counselor,0.3,0.4,0.2,0.7,0.1,61,0.4117647059,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,60140,Master's degree,"342,400",5% (Faster than average),"18,400"
Admitting Interviewer,0.3,0.4,0.1,0.2,0,62,0.7,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
Adobe Layer,0.9,0.4,0.4,0.1,0.05,51,0.7027027027,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,49490,See How to Become One,"294,200",-3% (Decline),"-8,900"
Adobe Layer Helper,0.8,0.5,0.3,0.1,0.05,51,0.7428571429,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Adult basic and secondary education and ESL teachers,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult Basic Studies Teacher,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult Education Teacher,0.3,0.2,0.3,0.2,0.1,61,0.4545454545,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult English as a Second Language (ESL) Teacher,0.3,0.2,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult ESL Teacher Aide,0.2,0.3,0.25,0.25,0,61,0.5,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,30920,"Some college, no degree","1,298,900",0% (Little or no change),900
Adult Literacy Instructor,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult Literacy Teacher,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Adult Literacy Teaching Aide,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,30920,"Some college, no degree","1,298,900",0% (Little or no change),900
Adult Nurse Practitioner,0.2,0.3,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,125900,Master's degree,"323,900",38% (Much faster than average),"123,600"
Adult Protective Service Social Worker,0.3,0.2,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Adult Remedial Education Instructor,0.2,0.3,0.3,0.7,0.1,61,0.3125,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,58590,Bachelor's degree,"42,200",-13% (Decline),"-5,300"
Advanced Nursing Professor,0.2,0.1,0.4,0.3,0.1,61,0.2727272727,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
"Advertising, promotions, and marketing managers",0.7,0.2,0.6,0.5,0.7,54,0.3333333333,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,138730,Bachelor's degree,"389,000",6% (Faster than average),"24,300"
Advertising Account Executive,0.6,0.2,0.5,0.7,0.4,54,0.3333333333,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,58450,High school diploma or equivalent,"111,400",-7% (Decline),"-8,000"
Advertising Agent,0.7,0.2,0.6,0.5,0.2,54,0.4090909091,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,58450,High school diploma or equivalent,"111,400",-7% (Decline),"-8,000"
Advertising Analyst,0.7,0.2,0.6,0.4,0.1,54,0.45,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,68230,Bachelor's degree,"868,600",13% (Much faster than average),"116,600"
Advertising Copywriter,0.7,0.2,0.7,0.4,0.1,54,0.4285714286,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,73150,Bachelor's degree,"151,200",4% (As fast as average),"5,600"
Advertising Copy Writer,0.7,0.1,0.6,0.3,0.1,54,0.4444444444,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,73150,Bachelor's degree,"151,200",4% (As fast as average),"5,600"
Advertising Director,0.6,0.1,0.4,0.3,0.5,54,0.3684210526,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,138730,Bachelor's degree,"389,000",6% (Faster than average),"24,300"
Advertising Editor,0.7,0.1,0.5,0.3,0.2,54,0.4444444444,https://www.bls.gov/ooh/media-and-communication/editors.htm,73080,Bachelor's degree,"122,100",-4% (Decline),"-4,900"
Advertising Executive,0.6,0.1,0.2,0.5,0.3,54,0.4117647059,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,138730,Bachelor's degree,"389,000",6% (Faster than average),"24,300"
Advertising Manager,0.7,0.1,0.4,0.3,0.4,54,0.4210526316,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,138730,Bachelor's degree,"389,000",6% (Faster than average),"24,300"
Advertising Photographer,0.7,0.1,0.5,0.3,0.1,54,0.4705882353,https://www.bls.gov/ooh/media-and-communication/photographers.htm,40170,High school diploma or equivalent,"148,900",4% (As fast as average),"6,100"
Advertising sales agents,0.4,0.3,0.2,0.6,0.1,51,0.4375,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,58450,High school diploma or equivalent,"111,400",-7% (Decline),"-8,000"
Advertising Solicitor,0.4,0.2,0.2,0.2,0,54,0.6,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,58450,High school diploma or equivalent,"111,400",-7% (Decline),"-8,000"
Aerial Crop Duster,0.1,0.6,0.2,0.05,0.05,11,0.7,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,148900,See How to Become One,"142,600",4% (As fast as average),"5,600"
Aerial Hurricane Hunter,0.1,0.3,0.4,0.1,0.1,92,0.4,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,148900,See How to Become One,"142,600",4% (As fast as average),"5,600"
Aerial Photographer,0.4,0.3,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/media-and-communication/photographers.htm,40170,High school diploma or equivalent,"148,900",4% (As fast as average),"6,100"
Aerial Sprayer,0.05,0.7,0.15,0.05,0.05,11,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,148900,See How to Become One,"142,600",4% (As fast as average),"5,600"
Aerobics Instructor,0.05,0.6,0.1,0.25,0,71,0.65,https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,45380,High school diploma or equivalent,"329,500",14% (Much faster than average),"45,200"
Aerodynamics Engineer,0.4,0.2,0.3,0.05,0.05,54,0.6,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aerodynamics Professor,0.3,0.1,0.4,0.15,0.05,61,0.4,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Aeronautical Drafter,0.7,0.2,0.1,0.05,0.05,54,0.8181818182,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,60400,Associate's degree,"197,300",-2% (Decline),"-4,300"
Aeronautical Engineer,0.3,0.2,0.4,0.05,0.05,54,0.5,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aeronautical Engineering Professor,0.3,0.1,0.4,0.2,0.1,61,0.3636363636,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Aerospace Engineering and Operations Technologist,0.4,0.2,0.3,0.05,0.05,54,0.6,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,74410,Associate's degree,"10,200",8% (Faster than average),800
Aerospace engineering and operations technologists and technicians,0.4,0.3,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,74410,Associate's degree,"10,200",8% (Faster than average),800
Aerospace engineers,0.4,0.2,0.3,0.05,0.05,54,0.6,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aerospace Products Sales Engineer,0.3,0.2,0.3,0.15,0.05,33,0.5,https://www.bls.gov/ooh/sales/sales-engineers.htm,108530,Bachelor's degree,"60,900",5% (Faster than average),"2,900"
African History Professor,0.2,0.1,0.5,0.2,0,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
African Studies Professor,0.2,0.1,0.5,0.2,0.1,61,0.2727272727,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Agency Legal Counsel,0.3,0.2,0.3,0.15,0.05,54,0.5,https://www.bls.gov/ooh/legal/lawyers.htm,135740,Doctoral or professional degree,"826,300",8% (Faster than average),"62,400"
Agricultural and food science technicians,0.2,0.4,0.25,0.1,0.05,11,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,46140,Associate's degree,"38,800",5% (Faster than average),"1,900"
Agricultural and food scientists,0.3,0.2,0.4,0.1,0.1,11,0.4545454545,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Agricultural Chemist,0.3,0.2,0.4,0.05,0.05,11,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,81810,Bachelor's degree,"95,000",6% (Faster than average),"5,800"
Agricultural Crop Farm Manager,0.2,0.4,0.2,0.1,0.1,11,0.6,https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,75760,High school diploma or equivalent,"922,900",-5% (Decline),"-42,300"
Agricultural Economics Professor,0.3,0.1,0.4,0.15,0.05,61,0.4,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Agricultural Economist,0.4,0.2,0.3,0.1,0.2,11,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,113940,Master's degree,"17,600",6% (Faster than average),"1,100"
Agricultural Engineer,0.3,0.2,0.3,0.1,0.1,11,0.5,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,83260,Bachelor's degree,"1,600",6% (Faster than average),100
Agricultural engineers,0.3,0.2,0.3,0.1,0.1,11,0.5,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,83260,Bachelor's degree,"1,600",6% (Faster than average),100
Agricultural Equipment Mechanic,0.1,0.6,0.2,0.1,0.05,11,0.6666666667,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Agricultural Pilot,0.1,0.6,0.2,0.1,0.05,11,0.6666666667,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,148900,See How to Become One,"142,600",4% (As fast as average),"5,600"
Agricultural Production Engineer,0.3,0.2,0.3,0.1,0.1,11,0.5,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,83260,Bachelor's degree,"1,600",6% (Faster than average),100
Agricultural Real Estate Agent,0.2,0.3,0.25,0.15,0.1,53,0.5,https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,52030,High school diploma or equivalent,"589,800",3% (As fast as average),"19,400"
Agricultural Research Director,0.3,0.1,0.4,0.1,0.1,11,0.4,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,144440,Bachelor's degree,"86,300",5% (Faster than average),"4,200"
Agricultural Research Engineer,0.3,0.2,0.4,0.05,0.05,11,0.5,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,83260,Bachelor's degree,"1,600",6% (Faster than average),100
Agricultural Soil Conservation Professor,0.3,0.2,0.3,0.15,0.05,61,0.5,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Agricultural workers,0.05,0.7,0.1,0.1,0.05,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,"804,600",-2% (Decline),"-16,000"
Agriculturist,0.2,0.4,0.2,0.1,0.1,11,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Agronomist,0.2,0.3,0.3,0.1,0.1,11,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Agronomy Professor,0.2,0.1,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Agronomy Technician,0.2,0.4,0.25,0.1,0.05,11,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,46140,Associate's degree,"38,800",5% (Faster than average),"1,900"
AIDS Social Worker,0.2,0.2,0.3,0.3,0.1,62,0.3636363636,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Air Ambulance Captain,0.05,0.4,0.4,0.1,0.05,62,0.45,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,148900,See How to Become One,"142,600",4% (As fast as average),"5,600"
Air Analysis Engineering Technician,0.3,0.4,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,50980,Associate's degree,"13,900",1% (Little or no change),200
Air Bag Builder,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Air Conditioning Service Technician,0.1,0.6,0.2,0.1,0,81,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,51390,Postsecondary nondegree award,"415,800",6% (Faster than average),"23,000"
Air Conditioning Sheet Metal Installer,0.05,0.7,0.1,0.1,0.05,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,55350,High school diploma or equivalent,"126,200",0% (Little or no change),-200
Aircraft and avionics equipment mechanics and technicians,0.2,0.5,0.2,0.1,0,48,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Armament Mechanic,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Cleaner,0.05,0.8,0.05,0.1,0,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Aircraft De-Icer Installer,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Design Engineer,0.4,0.2,0.3,0.05,0.05,33,0.6,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aircraft Designer,0.4,0.1,0.4,0.05,0.05,33,0.5,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aircraft Electrician,0.2,0.5,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Engine Assembler,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Engineer,0.3,0.4,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,126880,Bachelor's degree,"63,800",6% (Faster than average),"3,900"
Aircraft Engine Mechanic,0.1,0.6,0.2,0.05,0.05,81,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Engine Specialist,0.1,0.4,0.3,0.1,0.1,81,0.5,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Fuselage Framer,0.05,0.6,0.2,0.1,0.05,33,0.65,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Instrument Mechanic,0.3,0.5,0.15,0.05,0,33,0.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,70740,See How to Become One,"161,000",4% (As fast as average),"7,000"
Aircraft Layout Worker,0.1,0.4,0.3,0.1,0.1,33,0.5,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Line Assembler,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Painter,0.05,0.7,0.15,0.1,0,33,0.75,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,43370,See How to Become One,"185,900",1% (Little or no change),"1,000"
Aircraft Part Assembler,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Riveter,0.05,0.7,0.1,0.05,0.1,33,0.75,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Aircraft Sheet Metal Mechanic,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
