Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industry,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32,,
Mortgage Closing Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Mortgage Loan Processor,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Purchasing Clerk,0.6,0.3,0.05,0.05,0,42,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Securities Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Statement Clerk,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Statement Processor,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Time Clerk,0.4,0.5,0.05,0.05,0,56,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
Timekeeper,0.4,0.5,0.05,0.05,0,56,0.9,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,25231,-4% (Decline),-1056,,
CNC Operator,0.4,0.5,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Computer Numerically Controlled (CNC) Machinist,0.7,0.2,0.05,0.02,0.03,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Computer Numerically Controlled (CNC) Programmer,0.7,0.2,0.1,0,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Computer Numerically Controlled (CNC) Shot Peening Operator,0.4,0.5,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Numerical Control Machine Operator,0.7,0.2,0.05,0.02,0.03,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Numerical Control Programmer,0.7,0.2,0.1,0,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Numerical Tool and Process Control Programmer,0.7,0.2,0.1,0,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Numerical Tool Programmer,0.7,0.2,0.1,0,0,33,0.9,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,9359,-6% (Decline),-600,,
Computer Help Desk Representative,0.7,0.2,0.05,0.05,0,54,0.9,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,59660,See How to Become One,76175,5% (Faster than average),4100,,
Cane Cutter,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,13410,-2% (Decline),-267,,
Citrus Picker,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,13410,-2% (Decline),-267,,
Corn Picker,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,13410,-2% (Decline),-267,,
Crop Picker,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,33290,See How to Become One,13410,-2% (Decline),-267,,
Bulk Mail Clerk,0.2,0.7,0.05,0.05,0,48,0.9,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,22923,-8% (Decline),-1773,,
Flat Sorting Machine Clerk,0.3,0.6,0.05,0.05,0,48,0.9,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,22923,-8% (Decline),-1773,,
Mail Forwarding System Markup Clerk,0.4,0.5,0.05,0.05,0,48,0.9,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,22923,-8% (Decline),-1773,,
Parcel Post Distribution Machine Operator,0.3,0.6,0.05,0.05,0,48,0.9,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,22923,-8% (Decline),-1773,,
Postal Service Mail Processor,0.3,0.6,0.05,0.05,0,48,0.9,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,53680,No formal educational credential,22923,-8% (Decline),-1773,,
Headend Technician,0.7,0.2,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,60190,See How to Become One,15753,6% (Faster than average),995,,
Telecommunications Switch Technician,0.7,0.2,0.05,0.05,0,54,0.9,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,60190,See How to Become One,15753,6% (Faster than average),995,,
Tripe Cooker,0,0.9,0.05,0.05,0,33,0.9,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,7084,6% (Faster than average),432,,
Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,67180,Associate's degree,29344,6% (Faster than average),1711,,
Computer Numerically Controlled (CNC) Wood Lathe Operator,0.7,0.2,0.05,0.02,0.03,33,0.9,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,7239,-1% (Little or no change),-82,,
Collections Clerk,0.6,0.3,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,39470,High school diploma or equivalent,16131,-10% (Decline),-1546,,
Health Information Coder,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,47180,Postsecondary nondegree award,48575,8% (Faster than average),4125,,
Medical Bill Coder,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,47180,Postsecondary nondegree award,48575,8% (Faster than average),4125,,
Cataloging Library Technical Assistant,0.6,0.3,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,35280,See How to Become One,9500,-6% (Decline),-565,,
Library Cataloging Technician,0.6,0.3,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,35280,See How to Become One,9500,-6% (Decline),-565,,
Microfilm Clerk,0.3,0.6,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,35280,See How to Become One,9500,-6% (Decline),-565,,
Disc Recordist,0.7,0.2,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,53960,See How to Become One,4924,2% (As fast as average),86,,
Play Back Operator,0.7,0.2,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,53960,See How to Become One,4924,2% (As fast as average),86,,
Sound Cutter,0.7,0.2,0.1,0,0,51,0.9,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,53960,See How to Become One,4924,2% (As fast as average),86,,
Betting Clerk,0.4,0.5,0.05,0.05,0,71,0.9,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,2696,1% (Little or no change),35,,
Index Editor,0.7,0.2,0.1,0,0,51,0.9,https://www.bls.gov/ooh/media-and-communication/editors.htm,73080,Bachelor's degree,8721,-4% (Decline),-350,,
Floor Scraper,0,0.9,0.05,0.05,0,23,0.9,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,47890,No formal educational credential,4650,3% (As fast as average),135,,
Cue Selector,0.7,0.2,0.1,0,0,51,0.9,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,62420,Bachelor's degree,5147,7% (Faster than average),341,,
Payroll Examiner,0.7,0.2,0.05,0.05,0,52,0.9,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,82210,Bachelor's degree,9371,20% (Much faster than average),1829,,
Certified Medical Transcriptionist,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,34730,Postsecondary nondegree award,6125,-4% (Decline),-225,,
Medical Stenographer,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,34730,Postsecondary nondegree award,6125,-4% (Decline),-225,,
Cancer Registrar,0.7,0.2,0.05,0.05,0,62,0.9,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,58250,Associate's degree,6317,16% (Much faster than average),1033,,
Court Recording Monitor,0.7,0.2,0.05,0.05,0,92,0.9,https://www.bls.gov/ooh/legal/court-reporters.htm,63560,Postsecondary nondegree award,2662,3% (As fast as average),75,,
Realtime Captioner,0.8,0.1,0.05,0.05,0,51,0.9,https://www.bls.gov/ooh/legal/court-reporters.htm,63560,Postsecondary nondegree award,2662,3% (As fast as average),75,,
Stenocaptioner,0.7,0.2,0.1,0,0,51,0.9,https://www.bls.gov/ooh/legal/court-reporters.htm,63560,Postsecondary nondegree award,2662,3% (As fast as average),75,,
Mapper,0.7,0.2,0.1,0,0,54,0.9,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,71890,Bachelor's degree,1400,5% (Faster than average),70,,
Photo Cartographer,0.7,0.2,0.1,0,0,54,0.9,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,71890,Bachelor's degree,1400,5% (Faster than average),70,,
Pine Straw Gatherer,0,0.9,0.05,0.05,0,11,0.9,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,32270,High school diploma or equivalent,1256,-9% (Decline),-111,,
Electronic Imager,0.8,0.1,0.05,0.02,0.03,51,0.9,https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm,47910,Associate's degree,1062,-13% (Decline),-138,,
Time Stamp Assembler,0.8,0.7,0.1,0.05,0.05,51,0.8823529412,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,23926,-6% (Decline),-1533,,
Bus Cleaner,0.05,0.9,0.05,0.1,0,48,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Bus Washer,0.05,0.9,0.05,0.1,0,48,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Cart Pusher,0.05,0.9,0.05,0.1,0,44,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Egg Packer,0.05,0.9,0.05,0.1,0,11,0.8636363636,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Floor Cleaner,0.05,0.9,0.05,0.1,0,56,0.8636363636,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,31990,No formal educational credential,183300,1% (Little or no change),2300,,
Video Tape Transferrer,0.8,0.7,0.1,0.1,0.05,51,0.8571428571,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,62420,Bachelor's degree,5147,7% (Faster than average),341,,
Aircraft Cleaner,0.05,0.8,0.05,0.1,0,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,137694210
Auto Cleaner,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Auto Detailer,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Brick Offbearer,0.05,0.8,0.05,0.1,0,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Chopper Feeder,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Doffer,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Dryer Feeder,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Equipment Cleaner,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Garbage Collector,0.05,0.8,0.05,0.1,0,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Gift Wrapper,0.05,0.8,0.05,0.1,0,44,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Grave Digger,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Grocery Stocker,0.05,0.8,0.05,0.1,0,44,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Hand laborers and material movers,0.05,0.8,0.05,0.1,0,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Hopper Feeder,0.05,0.8,0.05,0.1,0,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Hopper Filler,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Line Feeder,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Machine Cleaner,0.05,0.8,0.05,0.1,0,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Meat Packager,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Meat Wrapper,0.05,0.8,0.05,0.1,0,44,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Night Stocker,0.05,0.8,0.05,0.05,0.05,44,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Offbearer,0.05,0.8,0.05,0.1,0,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Package Handler,0.05,0.8,0.05,0.05,0.05,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Packing Machine Can Feeder,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Recyclable Materials Collector,0.05,0.8,0.05,0.1,0,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Refuse Collector,0.05,0.8,0.05,0.1,0,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Solid Waste Collector,0.05,0.8,0.05,0.1,0,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Spike Machine Feeder,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Spinning Doffer,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Truck Washer,0.05,0.8,0.05,0.1,0,81,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Van Loader,0.05,0.8,0.05,0.1,0,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,124551,5% (Faster than average),6200,,
Buffet Attendant,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,168174,2% (As fast as average),2952,,
Bus Person,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,168174,2% (As fast as average),2952,,
Busser,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,168174,2% (As fast as average),2952,,
Cafeteria Server,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,168174,2% (As fast as average),2952,,
Lunchroom Attendant,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,168174,2% (As fast as average),2952,,
Breakfast Cook,0.05,0.8,0.1,0.05,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
Fast Food Cook,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
Fast Food Fry Cook,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
Fryline Attendant,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
Griddle Attendant,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
Griddle Cook,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,104973,6% (Faster than average),6742,,
