Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Animal Nutritionist,20%,30%,40%,10%,0%,Masters,54.0
Animal Pathologist,20%,30%,40%,10%,0%,Doctorate,54.0
Animal Science Professor,20%,20%,40%,20%,10%,PhD,61.0
Animal Shelter Worker,10%,60%,10%,20%,5%,Highschool,81.0
Animal Sitter,5%,70%,10%,15%,0%,,81.0
Animal Surgeon,5%,30%,40%,20%,5%,Doctorate,54.0
Animator,90%,30%,60%,20%,10%,Bachelors,51.0
Annealing Furnace Operator,5%,70%,10%,5%,10%,Highschool,33.0
Announcers and DJs,30%,40%,20%,70%,10%,Associates,51.0
Anode Builder,10%,60%,20%,10%,0%,Highschool,33.0
Anodizer,5%,70%,10%,10%,5%,Highschool,33.0
Antenna Engineer,40%,20%,30%,5%,5%,Masters,54.0
Anthropologist,20%,20%,40%,15%,5%,PhD,54.0
Anthropologists and archeologists,20%,30%,40%,10%,5%,PhD,54.0
Apartment Manager,30%,40%,10%,20%,50%,Associates,53.0
Apartment Rental Agent,30%,40%,10%,20%,5%,Highschool,53.0
Apothecary,10%,40%,30%,15%,5%,Professional Certificate,44.0
Apparel Designer,40%,20%,30%,10%,5%,Bachelors,31.0
Appeals Examiner,40%,30%,20%,10%,0%,Bachelors,54.0
Appeals Referee,30%,20%,30%,20%,0%,Bachelors,54.0
Appellate Conferee,30%,20%,30%,20%,0%,Bachelors,54.0
Appliance Parts Counter Clerk,20%,50%,10%,20%,0%,Highschool,44.0
Application Development Director,70%,10%,40%,30%,50%,Masters,54.0
Application Integration Engineer,80%,10%,60%,20%,10%,Bachelors,54.0
Applications Analyst,80%,10%,60%,30%,20%,Bachelors,54.0
Applications Developer,90%,30%,60%,20%,10%,Bachelors,54.0
Applications Programmer,90%,40%,50%,10%,5%,Bachelors,54.0
Applications Tester,90%,40%,40%,10%,5%,Bachelors,54.0
Applied Anthropologist,30%,20%,30%,15%,5%,Masters,54.0
Applied Exercise Physiologist,20%,30%,25%,25%,0%,Masters,62.0
Applied Psychology Professor,20%,10%,40%,30%,10%,PhD,61.0
Applied Statistician,70%,10%,15%,5%,0%,PhD,54.0
Appointment Clerk,60%,30%,5%,40%,5%,Highschool,62.0
Aquaculture and Fisheries Professor,20%,10%,40%,20%,10%,PhD,61.0
Aquaculture Farm Manager,20%,30%,20%,15%,15%,Bachelors,11.0
Aquaculture Worker,10%,60%,10%,10%,10%,Highschool,11.0
Aquarist,10%,40%,30%,15%,5%,Associates,71.0
Aquarium Tank Attendant,10%,60%,10%,15%,5%,Highschool,71.0
Aquatic Biologist,20%,30%,30%,10%,10%,Masters,54.0
Arabic Professor,20%,30%,30%,20%,0%,PhD,61.0
"Arbitrators, mediators, and conciliators",20%,20%,40%,80%,20%,Professional Certificate,54.0
Arboreal Scientist,10%,20%,50%,10%,10%,Masters,11.0
Arch-Support Maker,5%,60%,20%,10%,5%,Professional Certificate,31.0
Archaeologist,20%,30%,40%,10%,5%,Masters,54.0
Architects,30%,20%,30%,15%,5%,Bachelors,54.0
Architectural and engineering managers,40%,10%,30%,10%,10%,Masters,54.0
Architectural Design Professor,30%,10%,40%,15%,5%,PhD,61.0
Architectural Drafter,70%,20%,40%,10%,5%,Associates,54.0
Architectural Drafting Instructor,40%,20%,20%,15%,5%,Bachelors,61.0
Architectural Engineer,40%,20%,30%,10%,10%,Bachelors,54.0
Architectural Inspector,20%,30%,30%,15%,5%,Bachelors,23.0
Architecture Professor,20%,10%,40%,20%,10%,PhD,61.0
"Archivists, curators, and museum workers",30%,20%,30%,15%,5%,Masters,71.0
Arc Welder,5%,70%,15%,10%,0%,Professional Certificate,23.0
Armature Assembler,10%,70%,10%,5%,5%,Highschool,33.0
Armature Rewinder,10%,60%,20%,5%,5%,Professional Certificate,33.0
Armed Guard,5%,70%,10%,10%,5%,Highschool,56.0
Arson Investigator,20%,30%,30%,15%,5%,Professional Certificate,92.0
Art Conservator,20%,30%,40%,10%,5%,Masters,71.0
Art directors,40%,10%,30%,10%,10%,Bachelors,71.0
Art Editor,70%,20%,60%,40%,30%,Bachelors,51.0
Art Handler,20%,40%,20%,20%,0%,Highschool,71.0
Artificial Breeding Technician,20%,40%,20%,10%,10%,Associates,11.0
Artificial Limb Fitter,10%,30%,30%,20%,10%,Professional Certificate,62.0
Artist's Model,5%,70%,10%,15%,0%,,71.0
Asbestos Abatement Worker,5%,70%,15%,10%,0%,Professional Certificate,56.0
Asbestos Remover,5%,80%,5%,10%,0%,Professional Certificate,56.0
Ash Conveyor Operator,10%,70%,10%,5%,5%,Highschool,31.0
Asian Studies Professor,20%,20%,40%,20%,10%,PhD,61.0
Asphalt Paver,5%,70%,10%,10%,5%,Highschool,23.0
Asphalt Paving Machine Operator,5%,70%,10%,10%,5%,Highschool,23.0
Asphalt Roller Operator,5%,70%,10%,10%,5%,Highschool,23.0
Asphalt Tamping Machine Operator,5%,80%,5%,5%,5%,Highschool,23.0
Assayer,20%,40%,30%,5%,5%,Bachelors,21.0
Assemblers and fabricators,10%,70%,10%,5%,5%,Highschool,31.0
Assembling Motor Builder,10%,60%,10%,10%,10%,Highschool,33.0
Assembly Instructions Writer,40%,40%,15%,5%,0%,Associates,31.0
Assembly Line Tender,10%,70%,5%,10%,5%,Highschool,31.0
Assistant Attorney General,30%,20%,30%,15%,5%,Doctorate,92.0
Assistant Corporation Counsel,30%,20%,30%,15%,5%,Professional Certificate,54.0
Assistant Counsel,30%,20%,30%,20%,0%,Professional Certificate,54.0
Assistant Innkeeper,20%,40%,10%,20%,10%,Highschool,72.0
Assistant Paralegal,40%,40%,10%,10%,0%,Associates,54.0
Associate Attorney,30%,20%,40%,10%,0%,Doctorate,54.0
Astronautical Engineer,40%,20%,30%,5%,5%,Masters,54.0
Astrophysicist,40%,10%,40%,5%,5%,PhD,54.0
Astrophysics Professor,30%,10%,50%,10%,0%,PhD,61.0
Athletes and sports competitors,5%,60%,20%,15%,0%,Highschool,71.0
Athletic Coach,10%,30%,20%,30%,10%,Bachelors,61.0
Athletic Events Scorer,30%,40%,20%,10%,0%,Highschool,71.0
Athletic trainers,20%,40%,20%,60%,10%,Bachelors,61.0
Atmospheric Chemist,30%,20%,40%,5%,5%,PhD,54.0
Atmospheric Scientist,40%,20%,30%,5%,5%,PhD,54.0
"Atmospheric scientists, including meteorologists",40%,20%,30%,5%,5%,Masters,54.0
Atomic Physics Professor,30%,10%,50%,10%,0%,PhD,61.0
Atomic Process Engineer,30%,20%,40%,10%,10%,PhD,33.0
Attending Anesthesiologist,10%,40%,40%,10%,0%,Doctorate,62.0
Attorney At Law,30%,20%,30%,15%,5%,Professional Certificate,54.0
Attorney,30%,20%,30%,15%,5%,Professional Certificate,54.0
Attorney General,30%,10%,40%,10%,10%,Doctorate,92.0
ATV Technician,10%,60%,20%,5%,5%,Professional Certificate,81.0
Audio-Visual Collections Coordinator,70%,10%,10%,5%,5%,Bachelors,51.0
Audio-Visual Production Specialist,70%,20%,40%,30%,10%,Bachelors,51.0
Audiologists,20%,30%,30%,70%,10%,Doctorate,62.0
Audio Recording Engineer,70%,20%,40%,30%,10%,Associates,51.0
Auditing Clerk,70%,60%,40%,20%,10%,Associates,54.0
Auditor-In-Charge,40%,20%,25%,10%,5%,Bachelors,54.0
Auditor,40%,30%,20%,10%,5%,Bachelors,54.0
Au Pair,5%,60%,10%,25%,0%,Highschool,62.0
Author,40%,20%,70%,10%,5%,Bachelors,51.0
Auto Battery Builder,10%,70%,10%,5%,5%,Highschool,33.0
Auto Body Customizer,10%,60%,20%,5%,5%,Professional Certificate,81.0
Auto Body Painter,5%,70%,15%,10%,0%,Professional Certificate,81.0
Auto Body Technician,10%,60%,20%,5%,5%,Professional Certificate,81.0
Auto Body Worker,5%,70%,15%,5%,5%,Professional Certificate,81.0
Auto Bumper Straightener,5%,70%,10%,10%,5%,Highschool,81.0
Auto Carrier Driver,5%,70%,10%,10%,5%,Highschool,48.0
Auto Cleaner,5%,80%,5%,10%,0%,,81.0
Auto Clutch Rebuilder,5%,70%,15%,10%,0%,Professional Certificate,81.0
Auto Clutch Specialist,10%,60%,20%,10%,0%,Professional Certificate,81.0
Auto Damage Appraiser,30%,40%,20%,10%,0%,Associates,52.0
Auto Damage Insurance Appraiser,30%,40%,20%,10%,0%,Associates,52.0
Auto Detailer,5%,80%,5%,10%,0%,,81.0
Auto Electrician,20%,50%,20%,10%,0%,Professional Certificate,81.0
Auto Glass Installer,5%,70%,10%,10%,5%,Highschool,81.0
Auto Glass Mechanic,5%,70%,15%,10%,0%,Highschool,81.0
Automatic Data Processing Planner,90%,60%,30%,10%,20%,Bachelors,54.0
Automatic Pilot Mechanic,10%,40%,30%,10%,10%,Professional Certificate,48.0
Automobile and Property Underwriter,40%,30%,20%,10%,0%,Bachelors,52.0
Automobile Body Painter,5%,70%,20%,5%,0%,Professional Certificate,81.0
Automobile Damage Appraiser,30%,40%,20%,10%,0%,Professional Certificate,44.0
Automobile Designer,40%,20%,30%,5%,5%,Bachelors,33.0
Automobile Detailer,5%,70%,10%,10%,5%,Highschool,81.0
Automobile Refinisher,5%,70%,15%,5%,5%,Professional Certificate,81.0
Automotive Alignment Specialist,10%,60%,20%,10%,0%,Professional Certificate,81.0
Automotive body and glass repairers,10%,70%,10%,10%,5%,Professional Certificate,81.0
Automotive Brake Adjuster,5%,70%,15%,5%,5%,Professional Certificate,81.0
Automotive Brake Specialist,5%,60%,20%,10%,5%,Professional Certificate,81.0
Automotive Brake Technician,5%,70%,15%,5%,5%,Professional Certificate,81.0
Automotive Design Drafter,70%,20%,40%,10%,5%,Associates,33.0
Automotive Electrician,20%,50%,20%,10%,0%,Professional Certificate,81.0
Automotive Fuel Injection Servicer,10%,60%,20%,5%,5%,Professional Certificate,81.0
Automotive Fuel Systems Converter,10%,40%,30%,10%,10%,Professional Certificate,81.0
Automotive Glass Technician,10%,60%,20%,10%,0%,Professional Certificate,81.0
Automotive Glazier,5%,70%,10%,10%,5%,Professional Certificate,44.0
Automotive Machinist,10%,60%,20%,5%,5%,Professional Certificate,33.0
Automotive Paint Technician,5%,60%,25%,5%,5%,Professional Certificate,81.0
Automotive Refinish Technician,5%,70%,20%,5%,0%,Professional Certificate,81.0
Automotive Salesperson,20%,40%,20%,70%,10%,Highschool,44.0
Automotive service technicians and mechanics,15%,60%,15%,5%,5%,Professional Certificate,81.0
Automotive Sheet Metal Engineer,30%,20%,30%,10%,10%,Bachelors,33.0
Automotive Specialty Technician,10%,60%,20%,5%,5%,Professional Certificate,81.0
Automotive Spray Painter,5%,70%,15%,5%,5%,Professional Certificate,81.0
Automotive Technology Instructor,20%,30%,25%,20%,5%,Associates,61.0
Auto Painter,5%,70%,15%,5%,5%,Professional Certificate,81.0
Auto Parts Salesperson,20%,40%,20%,20%,0%,Highschool,44.0
Auto Phone Installer,20%,60%,10%,10%,0%,Highschool,44.0
Autopsy Assistant,10%,60%,20%,10%,0%,Associates,62.0
Auto Radiator Specialist,5%,60%,20%,10%,5%,Professional Certificate,81.0
Auto Radio Mechanic,10%,60%,20%,10%,0%,Professional Certificate,44.0
Auto Research Engineer,40%,20%,30%,5%,5%,Bachelors,33.0
Auto Suspension and Steering Mechanic,5%,70%,15%,5%,5%,Professional Certificate,81.0
Auto Transmission Specialist,10%,60%,20%,5%,5%,Professional Certificate,81.0
Auto Travel Counselor,20%,40%,20%,20%,0%,Highschool,48.0
Aviation Electronics Technician,40%,30%,20%,5%,5%,Associates,48.0
Aviation Maintenance Instructor,20%,20%,30%,20%,10%,Professional Certificate,61.0
Aviation Medicine Specialist,20%,20%,40%,20%,10%,Doctorate,62.0
Baby Sitter,5%,60%,10%,25%,0%,,62.0
Backup Sawyer,5%,70%,10%,10%,5%,Highschool,31.0
Bacteriologist,20%,30%,40%,5%,5%,PhD,62.0
Bacteriology Professor,20%,20%,40%,20%,10%,PhD,61.0
Bacteriology Technician,20%,40%,30%,5%,5%,Bachelors,62.0
Bagel Maker,5%,80%,5%,10%,0%,,31.0
Bagger,5%,90%,5%,40%,5%,,44.0
Bag Grader,5%,70%,10%,10%,5%,,31.0
Bag Machine Adjuster,10%,60%,20%,5%,5%,Highschool,31.0
Bakers,5%,70%,15%,10%,5%,Highschool,31.0
Ballerina,5%,30%,40%,25%,0%,Professional Certificate,71.0
Ballet Company Member,5%,40%,40%,15%,0%,Professional Certificate,71.0
Ballet Dancer,5%,40%,40%,15%,0%,Professional Certificate,71.0
Ballet Professor,10%,30%,40%,20%,10%,Masters,61.0
Ballet Soloist,5%,30%,50%,15%,0%,Professional Certificate,71.0
Ballistician,30%,20%,40%,10%,0%,Masters,54.0
Ballistics Expert,30%,20%,40%,10%,0%,Bachelors,54.0
Ballistics Professor,20%,10%,50%,15%,5%,PhD,61.0
Ballistic Technician,20%,40%,30%,5%,5%,Associates,33.0
Balloon Pilot,5%,40%,30%,25%,0%,Professional Certificate,71.0
Bandmill Operator,5%,70%,10%,5%,10%,Highschool,31.0
Band Scroll Saw Operator,5%,70%,15%,5%,5%,Highschool,31.0
Bank Branch Manager,40%,30%,10%,10%,10%,Bachelors,52.0
Bank Compliance Officer,40%,30%,20%,10%,20%,Bachelors,52.0
Banker Mason,5%,60%,20%,10%,5%,Highschool,23.0
Bank Examiner,40%,30%,20%,10%,0%,Bachelors,52.0
Bank Guard,5%,70%,5%,20%,0%,Highschool,52.0
Banking and Finance Instructor,40%,20%,30%,60%,20%,Masters,52.0
Banking Center Manager,30%,20%,20%,20%,10%,Bachelors,52.0
Banking Manager,40%,30%,20%,40%,60%,Bachelors,52.0
Banking Services Clerk,40%,40%,10%,10%,0%,Associates,52.0
Bank Note Designer,70%,20%,80%,10%,5%,Bachelors,32.0
Bank Teller,40%,50%,5%,40%,5%,Highschool,52.0
Banquet Chef,5%,40%,25%,20%,10%,Associates,72.0
